scientificName
Xanthomonas euvesicatoria pv. alangii
Xanthomonas vasicola pv. arecae
Xanthomonas arboricola pv. arracaciae
Xanthomonas campestris pv. blepharidis
Xanthomonas campestris pv. carissae
Xanthomonas campestris pv. centellae
Xanthomonas campestris pv. clerodendri
Xanthomonas campestris pv. convolvuli
Xanthomonas campestris pv. daturae
Xanthomonas campestris pv. euphorbiae
Xanthomonas campestris pv. fici
Xanthomonas arboricola pv. guizotiae
Xanthomonas campestris pv. heliotropii
Xanthomonas campestris pv. ionidii
Xanthomonas campestris pv. lawsoniae
Xanthomonas campestris pv. leeana
Xanthomonas campestris pv. mirabilis
Xanthomonas campestris pv. olitorii
Xanthomonas campestris pv. paulliniae
Xanthomonas campestris pv. pennamericanum
Xanthomonas euvesicatoria pv. physalidis
Xanthomonas campestris pv. spermacoces
Xanthomonas campestris pv. thespesiae
Xanthomonas campestris pv. uppalii
Xanthomonas campestris pv. veroniae
Xanthomonas campestris pv. viegasii
Xanthomonas citri pv. viticola
Xanthomonas campestris pv. vitiscarnosae
Xanthomonas campestris pv. vitistrifoliae
Xanthomonas campestris pv. vitiswoodrowii
Xanthomonas campestris pv. zingibericola
Xanthomonas hortorum pv. carotae
Xanthomonas hortorum pv. taraxaci
Xanthomonas translucens pv. phlei
Xanthomonas translucens pv. undulosa
Xanthomonas citri pv. citri
Xanthomonas hortorum pv. vitians
Xanthomonas dyei
Xanthomonas gardneri
Xanthomonas axonopodis pv. citrumelo
Xanthomonas campestris pv. musacearum
Xanthomonas axonopodis pv. commiphoreae
Xanthomonas axonopodis pv. manihotis
Xanthomonas cassavae
Xanthomonas citri subsp. citri
Xanthomonas maliensis
Xanthomonas citri pv. Anacardii
Xanthomonas massiliensis
Xanthomonas floridensis
Xanthomonas nasturtii
Xanthomonas cannabis pv. cannabis
Xanthomonas cannabis pv. phaseoli
Xanthomonas prunicola
Xanthomonas vasicola pv. zeae
Xanthomonas euroxanthea
Xanthomonas axonopodis pv. eucalyptorum
Xanthomonas sontii
Xanthomonas hortorum pv. gardneri
Xanthomonas hortorum pv. cynarae
Xanthomonas campestris pv. obscurae
Pseudomonas savastanoi pv. glycinea
Pseudomonas savastanoi pv. phaseolicola
Pseudomonas syringae pv. syringae
Pseudomonas amygdali pv. tabaci
Pseudomonas syringae pv. tomato
Pseudomonas viridiflava
Pseudomonas cichorii
Pseudomonas caricapapayae
Pseudomonas corrugata
Pseudomonas straminea
Pseudomonas synxantha
Pseudomonas tolaasii
Pseudomonas syringae pv. actinidiae
Pseudomonas syringae pv. actinidifoliorum
Pseudomonas brassicacearum
Pseudomonas chlororaphis
